title,artists,artist_nationality,genre,object_type,height,width,area,seller,seller_type,buyer,buyer_type,buyer_address,coordinates,purchase_date,sale_date,purchase_price,sale_price,sale_year,purchase_year
Glaneuses devant une meule,"LHERMITTE, LÉON AUGUSTIN",French,Genre,Painting,,,,Arnold and Tripp,Dealer,"Wynkoop, Gerardus Hilles",Collector,"7 W. 16th St., New York, NY, USA","40.737479,-73.992767",1890-01-13,1890-02-02,8000,3250,1890,1890
Pluviose,"KAEMMERER, FREDERIK HENDRIK",Dutch,Genre,Painting,,,,"Boussod, Valadon et Cie.",Dealer,"Stern, Benjamin",Collector,"23 W. 52nd St., New York, NY, USA","40.759132,-73.975258",1890-01-13,1890-01-13,5500,1260.45,1890,1890
Mrchde de plaisir,"KAEMMERER, FREDERIK HENDRIK",Dutch,Genre,Painting,,,,"Boussod, Valadon et Cie.",Dealer,"Stern, Benjamin",Collector,"23 W. 52nd St., New York, NY, USA","40.759132,-73.975258",1890-01-13,1890-01-13,5900,1330.01,1890,1890
Tête avec bras ovale,"HENNER, JEAN JACQUES",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Huntington, Collis P.",Collector,"65 Park Ave., New York, NY, USA","40.749603,-73.979503",1890-01-13,1890-01-13,5500,2500,1890,1890
Winter,"BOUGHTON, GEORGE HENRY",British,Landscape,Painting,,,,"Boughton, George Henry",Artist,"Sloane, John",Collector,"989 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1890-01-13,1890-04-04,202,1250,1890,1890
Canal de Ogni Santi,"RICO ORTEGA, MARTÍN",Spanish,Landscape,Painting,,,,"Chaine & Simonson, J.",Dealer,"Pullman, W.A.",Collector,"611 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1890-02-02,1890-04-04,2000,800,1890,1890
Sacristie de Sn. Marco,"RICO ORTEGA, MARTÍN",Spanish,Landscape,Painting,,,,"Chaine & Simonson, J.",Dealer,"Blankley, Thomas S.",Collector,"518 Fulton St., Brooklyn, NY, USA","40.689357,-73.982097",1890-02-02,1890-03-03,1500,525,1890,1890
"[""The pond"" title info from Sales Book 6, 1885-1892, f.242]","DUPRÉ, JULES",French,Landscape,Painting,,,,"Burt, C.A., Mrs.",Collector,"Fahnestock, Harris Charles",Collector,"Madison Ave., New York, NY, USA","40.742771,-73.986597",1890-02-02,1890-04-04,248,1850,1890,1890
Boy & Dog,"ENGEL, JOHANN FRIEDRICH",German,Genre,Painting,,,,"Engel, Johann Friedrich",Artist,"Huntington, Arabella D., Mrs.",Collector,"4 W. 54th St., New York, NY, USA","40.761003,-73.975459",1877-09-09,1878-03-03,300,125,1878,1877
Tête de Moine,"CASANOVA Y ESTORACH, ANTONIO",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Bleiman, Max",Artist,"1125 Madison Ave., New York, NY, USA","40.779558,-73.959679",1890-02-02,1890-04-04,2750,900,1890,1890
Tête de Moine,"CASANOVA Y ESTORACH, ANTONIO",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Bleiman, Max",Artist,"1125 Madison Ave., New York, NY, USA","40.779558,-73.959679",1890-02-02,1890-04-04,2750,900,1890,1890
Au bord de la rivière,"KNIGHT, RIDGWAY",American,Landscape,Painting,,,,Pitet ainé,Dealer,"Herzberg, Constantine",Collector,"181 So. Oxford St., Brooklyn, NY, USA","40.684145,-73.973027",1890-03-03,1890-04-04,2000,700,1890,1890
La Barrière,"CHIALIVA, LUIGI",Italian,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Minturn, Louisa F.",Collector,"22 Washington Sq., New York, NY, USA","40.706347,-74.015202",1890-03-03,1890-04-04,7000,2350,1890,1890
Poesie,"LEFEBVRE, JULES JOSEPH",French,Genre,Painting,,,,Pitet ainé,Dealer,"Seney, George Ingraham",Collector,"Grand Hotel, New York, Ny, USA","40.723121,-74.006233",1890-03-03,1890-04-04,5000,1750,1890,1890
[Palazzo Comello (en Août)]; Palazzo Comello (en Août),"RICO ORTEGA, MARTÍN",Spanish,Landscape,Painting,,,,"Chaine & Simonson, J.",Dealer,"Fiske, Josiah M.",Collector,"885 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1890-03-03,1890-06-06,3600,1500,1890,1890
"[""Eglise San Giacomo da l'Orio"" title info from Sales Book 6, 1885-1892, f.255]; Église San Giacomo dell'Orio","RICO ORTEGA, MARTÍN",Spanish,Landscape,Painting,,,,"Chaine & Simonson, J.",Dealer,"Hoyt, M., Miss",Collector,"454 Lexington Ave., New York, NY, USA","40.753278,-73.974893",1890-03-03,1890-07-07,3600,1450,1890,1890
Alma Parens Virum,"COSTA, GIOVANNI (NINO)",Italian,Genre,Painting,,,,Obach and Company,Dealer,"Tracy, A.E., Mrs.",Collector,"80 Irving Pl., New York, NY, USA","40.73705,-73.986535",1890-03-03,1890-04-04,200,1309.48,1890,1890
La danse du voile,,Unknown,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-09-09,1878-03-03,2500,1000,1878,1877
Cavalcade dans la montagne,"GOUBIE, JEAN RICHARD",French,Genre,Painting,,,,Pitet ainé,Dealer,"Herzberg, Constantine",Collector,"181 S. Oxford St., Brooklyn, NY, USA","40.684145,-73.973027",1890-03-03,1890-04-04,3500,1400,1890,1890
Peche au bord du torrent,"GOUBIE, JEAN RICHARD",French,Genre,Painting,,,,Pitet ainé,Dealer,"Pullman, W.A.",Collector,"611 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1890-03-03,1890-04-04,2500,900,1890,1890
"[""A Roman market"" title info from Sales Book 6, 1885-1892, f.243]","LEFEBVRE, JULES JOSEPH",French,Genre,Painting,,,,"Kirby, Thomas E.",Dealer,"Fahnestock, Harris Charles",Collector,"Madison Ave., New York, NY, USA","40.742771,-73.986597",1890-04-04,1890-04-04,400,400,1890,1890
"[""Gorenflot"" title info from Sales Book 6, 1885-1892, f.244]","CASANOVA Y ESTORACH, ANTONIO",Spanish,History,Painting,,,,"Kirby, Thomas E.",Dealer,"Sloane, John",Collector,"989 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1890-04-04,1890-04-04,650,700,1890,1890
"[""In the garden"" title info from Sales Book 6, 1885-1892, f.244]","BOLDINI, GIOVANNI",Italian,Genre,Painting,,,,Ortgies & Co.,Dealer,"Blankley, Thomas S.",Collector,"518 Fulton St., Brooklyn, NY, USA","40.689357,-73.982097",1890-04-04,1890-04-04,420,500,1890,1890
"[""Cahn Day (Dordrecht)"" title info from Sales Book 6, 1885-1892, f.244]","CLAYS, PAUL JEAN",Belgian,Landscape,Painting,,,,Ortgies & Co.,Dealer,"Sloane, John",Collector,"989 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1890-04-04,1890-04-04,1000,1100,1890,1890
Entrée de Village,"CAZIN, JEAN CHARLES",French,Landscape,Painting,,,,Pitet ainé,Dealer,"Johnston, Henry Mortimer",Collector,"67 Downing St., Brooklyn, NY, USA","40.683692,-73.960881",1890-04-04,1890-05-05,1800,750,1890,1890
L'album,"EGUSQUIZA, ROGELIO",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,Schenck's Art Gallery,Dealer,"Nassau St., New York, NY, USA","40.707694,-74.010201",1877-09-09,1880-04-04,350,69.75,1880,1877
La partie de cartes,"GRISON, ADOLPHE",French,Genre,Painting,,,,Pitet ainé,Dealer,"Knapp, Joseph Fairchild",Collector,"84 Bedford Ave., Brooklyn, NY, USA","40.720959,-73.953805",1890-10-10,1890-12-12,1650,700,1890,1890
The Mouse,"HINTZE, JOHANN FERDINAND JULIUS",German,Genre,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Sage, Henry Williams",Collector,"67 Wall St./770 St. marks Pl. Brooklyn, New York, NY, USA","40.705685,-74.008482",1877-09-09,1878-01-13,330,200,1878,1877
Winter,"MUNTHE, LUDWIG",Norwegian,Landscape,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-09-09,1878-03-03,1000,350,1878,1877
Sheep,"ZÜGEL, HEINRICH VON",German,Animals,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Pyne, Percy Rivington",Collector,"25 E. 22nd St., New York, NY, USA","40.740332,-73.989084",1877-09-09,1878-05-05,1650,750,1878,1877
Hunting,"CHELMINSKI, JAN",Polish,Genre,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-09-09,1878-02-02,475,150,1878,1877
[Passage du gué]; Chevaux dans l'eau; Horses in the Water; Passage du gué,"WASHINGTON, GEORGES",French,Landscape; Animals,Painting,,,,Pitet ainé,Dealer,Arlington Art Galleries,Dealer,"1249 Fulton St., Brooklyn, NY, USA","40.680569,-73.951475",1890-11-11,6/6/10,1250,275,1910,1890
Hunting,"CHELMINSKI, JAN",Polish,Genre,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-09-09,1878-02-02,475,150,1878,1877
"""Passing the Number Board""; Passing the Number Board","MUNNINGS, ALFRED JAMES",British,Genre,Painting,20,23.875,477.5,Bond Street Galleries,Dealer,"Ryan, McAlexander Donald",Collector,"1 E. 57th St., New York, NY, USA","40.762966,-73.973968",6/6/57,5/5/60,2345,5000,1960,1957
"""Day break"" [title from Sales Book 9, f.187]; Daybreak; Le point du jour","POCHITONOV, IVAN PAVLOVIC",Russian,Landscape,Painting,,,,"Montaignac, Isidore",Dealer,"Skofield, Ray Lester",Collector,"311 W. 43rd St., New York, NY, USA","40.758094,-73.98948",1890-12-12,1/13/10,2000,250,1910,1890
Sheep,"SCHMALZIGAUG, FERDINAND",German,Animals,Painting,,,,"Wimmer & Co., Galleries",Dealer,Schenck's Art Gallery,Dealer,"10 Marden Lane, New York, NY, USA","40.731337,-74.003646",1877-09-09,1878-02-02,400,148.75,1878,1877
"""Flowers""; Flowers; Montmartre, auberge du Lapin Blanc","MONNOYER, JEAN BAPTISTE (I); UTRILLO, MAURICE",French,Still Life,Painting,35,26,910,"Seligmann, (Arnold), Rey and Co., Inc.",Dealer,"Vernay, Arthur S.",Dealer,"124 E. 55th St., New York, NY, USA","40.759658,-73.970684",2/2/41,6/5/44,1300,1800,1944,1941
"Ruby Strong Normandy; Ruby strong, Normandy; Ruby Strong, Normandy","MARTIN, HOMER DODGE",American,Landscape,Painting,14,11,154,American Art Association,Dealer,"Lewisohn, Adolph",Collector,"881 Fifth Ave., New York, NY, USA","40.806416,-73.942262",3/3/17,3/9/17,550,750,1917,1917
[Wein probe]; Trying Wine; Wein probe,"KRÄMER, PETER (1823)",German,Genre,Painting,10.625,7.625,81.015625,"Stroefer, Theodor",Dealer,Arlington Art Galleries,Dealer,"1249 Fulton St., Brooklyn, NY, USA","40.680569,-73.951475",1891-03-03,6/6/10,300,275,1910,1891
"The Rialto Bridge; The Rialto Bridge, Venice","GUARDI, FRANCESCO",Italian,Landscape,Painting,14.75,20,295,The Phillips Collection,Museum,City Bank-Farmers Trust Company,Collector,"22 William St., New York, NY, USA","40.705458,-74.009892",12/7/28,1/11/49,4000,10000,1949,1928
[Le droit de passage]; Le droit de passage; Right of the Way,"WASHINGTON, GEORGES",French,Genre,Painting,,,,Pitet ainé,Dealer,"Fischhof, Eugène",Collector,"20 W. 34th St., New York, NY, USA","40.748012,-73.983636",1891-04-04,2/2/05,1250,63.75,1905,1891
Child w. newspaper; Child with newspaper,"MAJER, GUSTAV",German,Genre,Painting,,,,"Wimmer & Co., Galleries",Dealer,Schenck's Art Gallery,Dealer,"37 Nassau St., New York, NY, USA","40.708614,-74.009371",1877-09-09,1883-04-04,160,18.75,1883,1877
Le Cordon bleu,"VIBERT, JEHAN GEORGES",French,Genre,Painting,,,,Pitet ainé,Dealer,"Knapp, Joseph Fairchild",Collector,"84 Bedford Ave., Brooklyn, NY, USA","40.720959,-73.953805",1891-04-04,1891-10-10,40000,16500,1891,1891
"""Mount Blanc in French Alps""; Mountains","BIERSTADT, ALBERT",American,Landscape,Painting,22,36,792,"Thomas, Ralph W.",Collector,"Ryan, Clendenin James Jr.",Collector,"515 Madison Ave., New York, NY, USA","40.759773,-73.974119",5/5/48,4/4/49,17.5,425,1949,1948
Hidden,"LAUPHEIMER, ANTON",German,Genre,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Boucicault, Dion",Collector,"6 E. 15th St., New York, NY, USA","40.736591,-73.993093",1877-09-09,1878-05-05,970,450,1878,1877
On the balcony,"KUEHL, GOTTHARDT",German,Genre,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-09-09,1878-02-02,1300,500,1878,1877
Horse & Dog,"LEBLING, MAX LUDWIG",German,Animals,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Wickes, Edward A.",Collector,"531 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1877-09-09,1878-06-06,250,150,1878,1877
"Bouteille d'Anis del Mono, Compotier, Pipe","PICASSO, PABLO",Spanish,Still Life,Painting,23,16.5,379.5,Fine Arts Associates,Dealer,"Senior, John Lawson, Jr.",Collector,"131 E. 66th St., New York, NY, USA","40.766634,-73.964883",6/6/48,4/3/49,1000,5500,1949,1948
Monk,"MAJER, GUSTAV",German,Genre,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Connell, D.C.",Collector,"444 Pearl St., New York, NY, USA","40.712388,-74.000805",1877-09-09,1878-01-13,200,150,1878,1877
Soldier,"MAJER, GUSTAV",German,Genre,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Connell, D.C.",Collector,"444 Pearl St., New York, NY, USA","40.712388,-74.000805",1877-09-09,1878-01-13,200,150,1878,1877
Hunting Ducks,"SCHMITZBERGER, JOSEF",German,Genre,Painting,,,,"Wimmer & Co., Galleries",Dealer,"Parker, James V.",Collector,"259 Madison Ave., New York, NY, USA","40.750764,-73.980774",1877-09-09,1878-03-03,500,297,1878,1877
[Cabin boys departure]; Cabin boy's departure; Cabin boys departure,"LEBLANT, JULIEN",French,Genre,Painting,,,,Knoedler's,Dealer,"Fischhof, Eugène",Collector,"Astor Court Bldg., New York, NY, USA","40.730079,-73.992841",1892-01-13,4/4/06,7000,244,1906,1892
"1 Ptg [""Head of a little girl"" title info from Sales Book 3, 1874-1879, f.207]","MEYER, JOHANN GEORG",German,Genre,Painting,,,,"Meyer, Johann Georg",Artist,"Cheney, Rush",Collector,"Fifth Ave. Hotel, Room 250, New York, NY, USA","40.739874,-73.990797",1877-09-09,1878-02-02,1050,400,1878,1877
"[""Youth"" title info from Sales Book 8, 1900-1907, p.24]","BERTZIG, ANTON",Austrian,Genre,Painting,5.875,4,23.5,"Neumann, (H.L.), Galerie",Dealer,"White, William J.",Collector,"22 W. 33rd St., New York, NY, USA","40.747967,-73.985554",1892-08-08,4/4/01,150,250,1901,1892
[Terrain abrupt au bord de la Seine]; Borders of the Seine; Terrain abrupt au bord de la Seine,"JETTEL, EUGEN",Austrian,Landscape,Painting,,,,"Sedelmeyer, (Charles), Gallery",Dealer,"Fischhof, Eugène",Collector,"Astor Court Bldg., New York, NY, USA","40.730079,-73.992841",1892-09-09,4/4/06,1500,95,1906,1892
"[""Early morning"" title info from Sales Book 3, 1874-1879, f.202]","CICÉRI, EUGÈNE",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Ord, Anna",Collector,"47 W. 52nd St., New York, NY, USA","40.759089,-73.97448",1877-09-09,1878-01-13,500,200,1878,1877
"[Untitled] [No title from Sales Book 3, 1874-1879, f.207]","CICÉRI, EUGÈNE",French,,Painting,,,,Bulla Frères et Jouy,Dealer,Schenck's Art Gallery,Dealer,"10 Marden Lane, New York, NY, USA","40.731337,-74.003646",1877-09-09,1878-02-02,200,100.63,1878,1877
[La femme a la chevre]; La femme a la chevre; Woman with goats,"VAYSON, PAUL",French,Genre,Painting,,,,Pitet ainé,Dealer,"O'Brien, M.V.",Collector,"729 Park Ave., New York, NY, USA","40.770177,-73.964483",1892-09-09,12/12/06,2750,950,1906,1892
"[""The Bazaar"" title info from Sales Book 7, 1892-1900, f.57]; Le Bazar","PASINI, ALBERTO",Italian,Genre,Painting,,,,Knoedler's,Dealer,"Tooker, Gabriel Mead",Collector,"Fifth Ave., New York, NY, USA","40.76457,-73.973636",1892-11-11,1894-02-02,1260,600,1894,1892
"[Untitled] [No title from Sales Book 3, 1874-1879, f.207]","LAMBINET, EMILE CHARLES",French,,Painting,,,,Bulla Frères et Jouy,Dealer,Schenck's Art Gallery,Dealer,"10 Marden Lane, New York, NY, USA","40.731337,-74.003646",1877-09-09,1878-02-02,500,166.25,1878,1877
"[""Landscape in Summer"" title info from Sales Book 3, 1874-1879, f.213]","LAMBINET, EMILE CHARLES",French,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Rhines, J.O.",Collector,"59 W. 51st St., New York, NY, USA","40.758261,-73.974575",1877-09-09,1878-03-03,500,225,1878,1877
Three Judges,"ROUAULT, GEORGES",French,Genre,Painting,35.5,24.5,869.75,"Balay, Roland",Dealer,"Senior, John Lawson, Jr.",Collector,"131 E. 66th St., New York, NY, USA","40.766634,-73.964883",11/10/48,4/8/49,4000,9500,1949,1948
[Paysage]; Landscape; Paysage,"LANGRAND, ADÈLE",French,Landscape,Painting,,,,Pitet ainé,Dealer,"Stimmel, George L.",Collector,"12 W. 44th St., New York, NY, USA","40.754858,-73.980227",1893-01-13,2/2/08,250,50,1908,1893
"[""Bergere rose""]; Bergère rose","VAYSON, PAUL",French,Genre,Painting,,,,Pitet ainé,Dealer,Hoggson Brothers,Collector,"7 E. 44th St., New York, NY, USA","40.754711,-73.979656",1893-01-13,1899-12-12,2362.05,831.25,1899,1893
[Neige aux fortifications]; Neige aux fortifications; Snow in Paris,"BILLOTTE, RENÉ",French,Landscape,Painting,,,,Pitet ainé,Dealer,Arlington Art Galleries,Dealer,"1249 Fulton, Brooklyn, NY, USA","40.680569,-73.951475",1893-02-02,8/8/10,1575,125,1910,1893
[Tuning the guitar]; Tuning the guitar; Tuning the Guitar,"SCHMIDT, EDWARD ALLAN",British,Genre,Painting,,,,Knoedler's,Dealer,"Sittenham, William",Collector,"125 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1893-04-04,2/2/05,36,300,1905,1893
"[""Playing cards"" title info from Sales Book 3, 1874-1879, f.201]","HAAG, CARL",German,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Connell, D.C.",Collector,"444 Pearl St., New York, NY, USA","40.712388,-74.000805",1877-09-09,1878-01-13,150,100,1878,1877
"[""Playing cards"" title info from Sales Book 3, 1874-1879, f.201]","HAAG, CARL",German,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Connell, D.C.",Collector,"444 Pearl St., New York, NY, USA","40.712388,-74.000805",1877-09-09,1878-01-13,150,100,1878,1877
Tasting the wine; Tasting wine,"CHEVILLIARD, VINCENT",French,Genre,Painting,,,,Obach and Company,Dealer,"Schreiber, John",Collector,"Fifth Ave. Hotel, New York, NY, USA","40.76457,-73.973636",1893-08-08,12/12/06,30,200,1906,1893
"[""Cornera, Interior of Fontainebl."" title info from Sales Book 3, 1874-1879, f.212]","LESREL, ADOLPHE ALEXANDRE",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-09-09,1878-03-03,5000,1000,1878,1877
L'amateur,"STEINHEIL, ADOLPHE CHARLES EDOUARD",French,Genre,Painting,,,,"Steinheil, Adolphe Charles Edouard",Artist,"O'Brien, John Fell",Collector,"33 Liberty St., New York, NY, USA","40.708694,-74.009356",1893-10-10,5/5/01,1750,225,1901,1893
Le soir; Le Soir,"MUENIER, JULES ALEXIS",French,Genre,Painting,,,,"Boussod, Valadon et Cie.",Dealer,"Chase, William Merritt",Artist,"303 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1893-10-10,2/2/05,1500,450,1905,1893
"[""The model and embroidering"" title info from Sales Book 3, 1874-1879, f.210]",,Unknown,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-09-09,1878-03-03,300,175,1878,1877
Always tell the truth,"DELACHAUX, LÉON",Swiss,Genre,Painting,,,,Knoedler's,Dealer,"Silo, James P.",Dealer,"366 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1893-11-11,1/13/05,1200,254,1905,1893
Fête du Cardinal,"ALVAREZ CATALA, LUIS",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-09-09,1878-02-02,15000,4000,1878,1877
bateaux sortant vent; Bateaux sortant vent; Bateaux Sortant vent,"MESDAG, HENDRIK WILLEM",Dutch,Landscape,Painting,,,,"Boussod, Valadon et Cie.",Dealer,Arlington Art Galleries,Dealer,"1249 Fulton St., Brooklyn, NY, USA","40.680569,-73.951475",1893-12-12,10/10/09,1750,287.5,1909,1893
Expectation,"BAUGNIET, CHARLES",Belgian,Genre,Painting,,,,"Butler, Theron R.",Collector,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-10-07,1878-02-02,900,700,1878,1877
Causerie,"LAISSEMENT, HENRI ADOLPHE",French,Genre,Painting,,,,Pitet ainé,Dealer,"Schreiber, John",Collector,"Fifth Ave. Hotel, New York, NY, USA","40.76457,-73.973636",1893-12-12,1/13/02,2500,700,1902,1893
Morning walk,"BÉRAUD, JEAN",French,Genre,Painting,,,,Pitet ainé,Dealer,"Fischhof, Eugène",Collector,"20 W. 34th St., New York, NY, USA","40.748012,-73.983636",1893-12-12,2/2/05,2000,216.25,1905,1893
Promenade,"ROSSI, LUCIUS",Italian,Genre,Painting,,,,Everard's,Dealer,"Walker, J.A.",Collector,"166 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1877-01-13,1879-05-05,399,375,1879,1877
"[""Hide and seek Alhambra"" title info from Sales Book 3, 1874-1879, f.204]","PALMAROLI GONZÁLEZ, VICENTE",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Raynor, James A.",Collector,"15 W. 36th St., New York, NY, USA","40.749929,-73.98411",1877-10-10,1878-02-02,15000,4000,1878,1877
"[""La nouvelle"" title info from Sales Book 3, 1874-1879, f. 191]","EGUSQUIZA, ROGELIO",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Vanderbilt, William Kissam",Collector,"5 E. 44th St., New York, NY, USA","40.754756,-73.979737",1877-10-10,1877-11-11,1500,750,1877,1877
Drapeau de l'ennemi,"LEON Y ESCOSURA, IGNACIO DE",Spanish,Genre,Painting,,,,Goupil et Cie.,Dealer,"Farish, John Temple",Collector,"Park Ave., New York, NY, USA","40.75146,-73.978158",1877-10-10,1878-04-04,400,2900,1878,1877
La promenade,"MOREAU, ADRIEN",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Loewenstein, L.",Collector,"305 W. 51st St., New York, NY, USA","40.755528,-73.967955",1877-10-10,1878-06-06,88,522.5,1878,1877
Huguenots fugitifs,"BOUGHTON, GEORGE HENRY",British,History,Painting,,,,Goupil et Cie.,Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-10-10,1878-02-02,100,1000,1878,1877
Worcester cathedral; Worcester Cathedral,"LEADER, BENJAMIN WILLIAMS",British,Landscape,Painting,,,,"Tooth, (Arthur), and Sons",Dealer,"Taylor, W.A.",Collector,"18 E. 66th St., New York, NY, USA","40.768279,-73.96932",1894-10-10,3/3/02,110,850,1902,1894
View of Bordighera,"STEVENS, ALFRED EMILE LEOPOLD JOSEPH VICTOR",Belgian,Landscape,Painting,,,,Knoedler's,Dealer,Arlington Art Galleries,Dealer,"1249 Fulton, Brooklyn, NY, USA","40.680569,-73.951475",1894-10-10,8/8/10,1000,125,1910,1894
Toilette du matin,"BOUGUEREAU, ADOLPHE WILLIAM",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Contoit, Charles H.",Collector,"728 Fifth Ave., New York, NY, USA","40.764429,-73.973799",1877-10-10,1877-11-11,8000,2500,1877,1877
San Juan y Pastor,"RICO ORTEGA, MARTÍN",Spanish,Landscape,Painting,,,,Knoedler's,Dealer,"Titcomb, George William",Collector,"215 Montague St., Brooklyn, NY, USA","40.694177,-73.991932",1894-11-11,3/3/08,1650,500,1908,1894
Vue de Treport; vue du Treport; Vue du Tréport,"VOLLON, ANTOINE",French,Landscape,Painting,,,,E. LeRoy & Co.,Dealer,"Lewisohn, Adolph",Collector,"9 W. 57th St., New York, NY, USA","40.763142,-73.974131",1894-11-11,11/11/01,9000,2500,1901,1894
Chanson de nuit,"DALBONO, EDOARDO",Italian,Genre,Painting,,,,Goupil et Cie.,Dealer,"Harper, Joseph Abner",Collector,"234 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1877-10-10,1880-03-03,2500,450,1880,1877
Petite femme,"KAEMMERER, FREDERIK HENDRIK",Dutch,Genre,Painting,,,,Goupil et Cie.,Dealer,"Lawrence, Frank R.",Collector,"22 E. 22nd St. [crossed out and changed to 267 Fifth Ave.], New York, NY, USA","40.740368,-73.989149",1877-10-10,1877-11-11,1250,400,1877,1877
Melon pomme rouge & c.e; Melon pomme rouge &c.a,"VOLLON, ANTOINE",French,Still Life,Painting,,,,Arnold and Tripp,Dealer,"Stursberg, Julius A.",Collector,"18 E. 67th St., New York, NY, USA","40.768857,-73.968467",1894-12-12,1/13/01,3500,1100,1901,1894
La marguerite,"CHIALIVA, LUIGI",Italian,Genre,Painting,,,,Knoedler's,Dealer,"Minzesheimer, D.M.",Collector,"145 W. 85th St., New York, NY, USA","40.786408,-73.973602",1894-12-12,5/5/01,3000,1000,1901,1894
Bibliotheque,"SIMONETTI, ALFONSO",Italian,Genre,Painting,,,,Everard's,Dealer,"Hilton, Henry",Collector,"W. 34th St., New York, NY, USA","40.748439,-73.98456",1877-01-13,1878-03-03,1026,800,1878,1877
The Look,"ERNST, MAX",German,Abstract,Painting,9.875,7.875,77.765625,"Ernst, Max",Artist,Pierre Matisse Gallery,Dealer,"41 E. 57th St., New York, NY, USA","40.763813,-73.975648",1/13/49,1/13/49,218.1818182,280,1949,1949
La vente du cheval; La vente du Cheval; La Vente du Cheval,"DOMINGO Y MARQUÉS, FRANCISCO",Spanish,Genre,Painting,,,,Pitet ainé,Dealer,"Hyde, Clarence M.",Collector,"284 Madison Ave., New York, NY, USA","40.751636,-73.980244",1895-04-04,1/13/05,12000,2500,1905,1895
Garden party Haddon Hall,"LEON Y ESCOSURA, IGNACIO DE",Spanish,Landscape,Painting,,,,Everard's,Dealer,"Hilton, Henry",Collector,"W. 34th St., New York, NY, USA","40.748439,-73.98456",1877-01-13,1878-03-03,3300,2500,1878,1877
View over the Weald of Sussex,"NASMYTH, PATRICK",British,Landscape,Painting,,,,Lawrie & Company's Galleries,Dealer,"Talmage, John Frelinghuysen II",Collector,"University Club, New York, NY, USA","40.730715,-73.995562",1895-08-08,3/3/06,254.1,1665,1906,1895
the cricket; The cricket; The Cricket,"RAFFAËLLI, JEAN FRANÇOIS",French,Genre,Painting,,,,"Schaus, William",Dealer,"Bird, E. Dimon",Collector,"43 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1895-11-11,11/11/09,1100,250,1909,1895
